Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/3/14,walking,walking,2014-12-03T12:27:57-06:00,2014-12-03T12:28:27-06:00,30,0.009,30,1
12/3/14,walking,walking,2014-12-03T13:30:45-06:00,2014-12-03T13:31:45-06:00,60,0.032,102,3
12/3/14,walking,walking,2014-12-03T14:03:32-06:00,2014-12-03T14:07:02-06:00,210,0.101,218,11
12/3/14,walking,walking,2014-12-03T14:11:57-06:00,2014-12-03T14:28:13-06:00,976,0.755,1631,79
12/3/14,walking,walking,2014-12-03T14:29:34-06:00,2014-12-03T14:31:45-06:00,131,0.086,185,9
12/3/14,walking,walking,2014-12-03T15:37:57-06:00,2014-12-03T15:38:57-06:00,60,0.025,81,3
12/3/14,walking,walking,2014-12-03T16:02:40-06:00,2014-12-03T16:03:10-06:00,30,0.016,51,2
12/3/14,walking,walking,2014-12-03T16:03:47-06:00,2014-12-03T16:11:11-06:00,444,0.206,451,22
12/3/14,walking,walking,2014-12-03T16:12:10-06:00,2014-12-03T16:12:40-06:00,30,0.016,51,2
12/3/14,walking,walking,2014-12-03T17:09:44-06:00,2014-12-03T17:11:07-06:00,83,0.040,129,4
12/3/14,walking,walking,2014-12-03T18:00:00-06:00,2014-12-03T18:00:37-06:00,37,0.013,42,1
12/3/14,walking,walking,2014-12-03T19:29:01-06:00,2014-12-03T19:29:31-06:00,30,0.009,30,1
12/3/14,walking,walking,2014-12-03T20:36:24-06:00,2014-12-03T20:36:54-06:00,30,0.009,30,1
12/3/14,walking,walking,2014-12-03T21:33:09-06:00,2014-12-03T21:51:46-06:00,1117,0.849,1757,89
12/3/14,walking,walking,2014-12-03T23:47:58-06:00,2014-12-03T23:48:58-06:00,60,0.022,71,2
12/4/14,walking,walking,2014-12-04T05:40:20-06:00,2014-12-04T05:40:50-06:00,30,0.009,30,1
12/4/14,walking,walking,2014-12-04T06:30:12-06:00,2014-12-04T06:32:42-06:00,150,0.070,102,7
12/4/14,walking,walking,2014-12-04T06:33:40-06:00,2014-12-04T06:54:51-06:00,1271,1.145,2130,120
12/4/14,walking,walking,2014-12-04T06:56:43-06:00,2014-12-04T06:58:43-06:00,120,0.090,193,9
12/4/14,walking,walking,2014-12-04T07:53:00-06:00,2014-12-04T07:55:26-06:00,146,0.095,205,10
12/4/14,walking,walking,2014-12-04T08:00:00-06:00,2014-12-04T08:05:34-06:00,334,0.222,476,23
12/4/14,walking,walking,2014-12-04T09:36:08-06:00,2014-12-04T09:44:09-06:00,481,0.290,621,30
12/4/14,walking,walking,2014-12-04T11:02:20-06:00,2014-12-04T11:07:12-06:00,292,0.224,480,23
12/4/14,walking,walking,2014-12-04T12:00:00-06:00,2014-12-04T12:00:38-06:00,38,0.021,69,2
12/4/14,walking,walking,2014-12-04T13:13:52-06:00,2014-12-04T13:18:22-06:00,270,0.142,304,15
12/4/14,walking,walking,2014-12-04T14:05:34-06:00,2014-12-04T14:09:06-06:00,212,0.124,266,13
12/4/14,walking,walking,2014-12-04T15:05:31-06:00,2014-12-04T15:32:28-06:00,1617,1.202,2521,126
12/4/14,walking,walking,2014-12-04T17:19:57-06:00,2014-12-04T17:41:14-06:00,1277,1.151,2180,121
12/4/14,walking,walking,2014-12-04T17:42:39-06:00,2014-12-04T17:43:39-06:00,60,0.029,91,3
12/4/14,walking,walking,2014-12-04T22:34:11-06:00,2014-12-04T22:59:48-06:00,1537,1.161,2489,122
12/5/14,walking,walking,2014-12-05T05:32:23-06:00,2014-12-05T05:33:53-06:00,90,0.031,101,3
12/5/14,walking,walking,2014-12-05T06:01:10-06:00,2014-12-05T06:01:40-06:00,30,0.009,20,1
12/5/14,walking,walking,2014-12-05T06:34:19-06:00,2014-12-05T06:55:57-06:00,1298,1.150,2215,120
12/5/14,walking,walking,2014-12-05T06:57:51-06:00,2014-12-05T06:58:51-06:00,60,0.032,102,3
12/5/14,walking,walking,2014-12-05T07:52:23-06:00,2014-12-05T07:57:11-06:00,288,0.171,369,18
12/5/14,walking,walking,2014-12-05T09:40:43-06:00,2014-12-05T09:43:43-06:00,180,0.094,203,10
12/5/14,walking,walking,2014-12-05T11:15:19-06:00,2014-12-05T11:18:19-06:00,180,0.114,244,12
12/5/14,walking,walking,2014-12-05T12:31:03-06:00,2014-12-05T12:34:03-06:00,180,0.137,295,14
12/5/14,walking,walking,2014-12-05T13:30:43-06:00,2014-12-05T13:50:02-06:00,1159,0.933,1777,98
12/5/14,walking,walking,2014-12-05T13:55:31-06:00,2014-12-05T13:56:01-06:00,30,0.012,41,1
12/5/14,walking,walking,2014-12-05T14:02:01-06:00,2014-12-05T14:03:01-06:00,60,0.025,81,3
12/5/14,walking,walking,2014-12-05T14:32:10-06:00,2014-12-05T14:53:51-06:00,1301,1.233,2313,129
12/5/14,walking,walking,2014-12-05T14:55:16-06:00,2014-12-05T14:55:46-06:00,30,0.012,41,1
12/5/14,walking,walking,2014-12-05T16:19:55-06:00,2014-12-05T16:22:11-06:00,136,0.063,0,7
12/5/14,walking,walking,2014-12-05T16:50:09-06:00,2014-12-05T17:04:55-06:00,886,0.688,1340,72
12/5/14,walking,walking,2014-12-05T17:06:55-06:00,2014-12-05T17:07:25-06:00,30,0.009,30,1
12/5/14,walking,walking,2014-12-05T17:09:54-06:00,2014-12-05T17:20:26-06:00,632,0.548,1119,57
12/5/14,transport,transport,2014-12-05T17:20:26-06:00,2014-12-05T17:41:57-06:00,1291,3.675,0,0
12/5/14,walking,walking,2014-12-05T17:41:57-06:00,2014-12-05T17:46:59-06:00,302,0.159,348,17
12/5/14,walking,walking,2014-12-05T17:51:27-06:00,2014-12-05T17:52:57-06:00,90,0.032,102,3
12/5/14,walking,walking,2014-12-05T18:01:58-06:00,2014-12-05T18:02:28-06:00,30,0.009,30,1
12/5/14,walking,walking,2014-12-05T18:04:24-06:00,2014-12-05T18:06:29-06:00,125,0.089,137,9
12/5/14,walking,walking,2014-12-05T18:07:28-06:00,2014-12-05T18:08:28-06:00,60,0.029,91,3
12/5/14,walking,walking,2014-12-05T20:11:17-06:00,2014-12-05T20:13:57-06:00,160,0.098,210,10
12/5/14,walking,walking,2014-12-05T22:13:50-06:00,2014-12-05T22:21:20-06:00,450,0.308,660,32
12/5/14,walking,walking,2014-12-05T23:19:18-06:00,2014-12-05T23:28:36-06:00,558,0.260,553,27
12/6/14,walking,walking,2014-12-06T00:05:57-06:00,2014-12-06T00:09:27-06:00,210,0.137,294,14
12/6/14,transport,transport,2014-12-06T00:29:54-06:00,2014-12-06T00:45:52-06:00,958,4.998,0,0
12/6/14,walking,walking,2014-12-06T00:45:52-06:00,2014-12-06T00:46:32-06:00,40,0.016,50,2
12/6/14,walking,walking,2014-12-06T09:12:50-06:00,2014-12-06T09:13:20-06:00,30,0.009,30,1
12/6/14,walking,walking,2014-12-06T10:07:59-06:00,2014-12-06T10:12:29-06:00,270,0.132,283,14
12/6/14,walking,walking,2014-12-06T10:40:12-06:00,2014-12-06T10:43:50-06:00,218,0.136,337,14
12/6/14,walking,walking,2014-12-06T11:16:21-06:00,2014-12-06T11:16:51-06:00,30,0.012,41,1
12/6/14,walking,walking,2014-12-06T12:06:31-06:00,2014-12-06T12:32:15-06:00,1544,1.358,2682,142
12/6/14,walking,walking,2014-12-06T12:35:43-06:00,2014-12-06T12:56:19-06:00,1236,1.360,2182,143
12/6/14,walking,walking,2014-12-06T14:58:50-06:00,2014-12-06T14:59:53-06:00,63,0.033,107,3
12/6/14,walking,walking,2014-12-06T15:01:53-06:00,2014-12-06T15:03:23-06:00,90,0.041,132,4
12/6/14,walking,walking,2014-12-06T16:43:22-06:00,2014-12-06T16:49:12-06:00,350,0.201,430,21
12/6/14,walking,walking,2014-12-06T17:46:54-06:00,2014-12-06T17:50:26-06:00,212,0.139,297,15
12/6/14,walking,walking,2014-12-06T18:13:06-06:00,2014-12-06T18:20:59-06:00,473,0.292,627,31
12/6/14,walking,walking,2014-12-06T19:04:36-06:00,2014-12-06T19:07:54-06:00,198,0.125,269,13
12/6/14,walking,walking,2014-12-06T20:01:12-06:00,2014-12-06T20:11:17-06:00,605,0.411,881,43
12/6/14,walking,walking,2014-12-06T23:35:06-06:00,2014-12-06T23:37:06-06:00,120,0.076,163,8
12/6/14,walking,walking,2014-12-06T23:38:29-06:00,2014-12-06T23:59:59-06:00,1290,0.934,1958,98
12/7/14,walking,walking,2014-12-07T00:00:00-06:00,2014-12-07T00:05:06-06:00,306,0.144,465,15
12/7/14,walking,walking,2014-12-07T07:10:02-06:00,2014-12-07T07:10:32-06:00,30,0.009,30,1
12/7/14,walking,walking,2014-12-07T08:43:13-06:00,2014-12-07T08:45:43-06:00,150,0.070,112,7
12/7/14,walking,walking,2014-12-07T09:07:26-06:00,2014-12-07T09:19:24-06:00,718,0.553,1119,58
12/7/14,walking,walking,2014-12-07T09:20:51-06:00,2014-12-07T09:26:21-06:00,330,0.161,345,17
12/7/14,walking,walking,2014-12-07T10:42:14-06:00,2014-12-07T10:47:03-06:00,289,0.170,372,18
12/7/14,walking,walking,2014-12-07T11:02:02-06:00,2014-12-07T11:25:52-06:00,1430,0.841,2235,88
12/7/14,walking,walking,2014-12-07T11:28:07-06:00,2014-12-07T11:30:07-06:00,120,0.094,203,10
12/7/14,walking,walking,2014-12-07T12:30:08-06:00,2014-12-07T12:33:56-06:00,228,0.149,320,16
12/7/14,walking,walking,2014-12-07T13:56:57-06:00,2014-12-07T14:00:46-06:00,229,0.134,309,14
12/7/14,walking,walking,2014-12-07T14:30:28-06:00,2014-12-07T14:52:18-06:00,1310,1.284,2216,135
12/7/14,walking,walking,2014-12-07T14:55:27-06:00,2014-12-07T15:05:22-06:00,595,0.473,956,50
12/7/14,walking,walking,2014-12-07T15:11:32-06:00,2014-12-07T15:17:32-06:00,360,0.213,456,22
12/7/14,walking,walking,2014-12-07T16:13:47-06:00,2014-12-07T16:16:47-06:00,180,0.085,183,9
12/7/14,walking,walking,2014-12-07T17:31:41-06:00,2014-12-07T17:34:11-06:00,150,0.109,233,11
12/7/14,walking,walking,2014-12-07T18:22:49-06:00,2014-12-07T18:23:49-06:00,60,0.029,91,3
12/7/14,walking,walking,2014-12-07T19:15:02-06:00,2014-12-07T19:19:32-06:00,270,0.161,345,17
12/7/14,walking,walking,2014-12-07T20:00:21-06:00,2014-12-07T20:03:51-06:00,210,0.142,305,15
12/7/14,walking,walking,2014-12-07T22:48:22-06:00,2014-12-07T22:50:52-06:00,150,0.090,193,9
12/7/14,walking,walking,2014-12-07T23:05:27-06:00,2014-12-07T23:05:57-06:00,30,0.009,30,1
